English,Russian,abound,изобиловать
English,Russian,bleeding-edge,передовой
English,Russian,mesh,сетка
English,Russian,immense,огромный
English,Russian,resilient,устойчивый
English,Russian,swapped,поменяны местами
English,Russian,entertained,развлекали
English,Russian,hedonic,гедонистический
English,Russian,alignment,выравнивание
English,Russian,clog,засорять
English,Russian,alleviate,облегчить
English,Russian,unequipped,необорудованный
English,Russian,decent,приличный
English,Russian,apimission,прощение
English,Russian,absurd,абсурдный
English,Russian,pleasant,приятный
English,Russian,cheek,щека
English,Russian,observable,наблюдаемый
English,Russian,entitled,озаглавленный
English,Russian,accept an offer,принять предложение
English,Russian,mishap,неудача
English,Russian,exact,точный
English,Russian,neglect,халатное отношение
English,Russian,fallout,выпадать
English,Russian,unintentional,непреднамеренный
English,Russian,grief,горе
English,Russian,thereupon,вслед за этим
English,Russian,disputes,споры
English,Russian,violation,нарушение
English,Russian,irreparable,непоправимый
English,Russian,threatened,под угрозой
English,Russian,portions,порции
English,Russian,designated,назначенный
English,Russian,deemed,считается
English,Russian,subpoena,повестка в суд
English,Russian,devastated,потрясенный
English,Russian,peeled,очищенный
English,Russian,claim,требовать
English,Russian,overwhelmingly,в подавляющем большинстве
English,Russian,undoing,уничтожение
English,Russian,vent,вентиляция
English,Russian,commodity,товар
English,Russian,vetted,проверенный
English,Russian,chipper,отбойник
English,Russian,spilled,пролился
English,Russian,palate,нёбо
English,Russian,succumbing,уступая
English,Russian,blanch,бланшировать
English,Russian,Stovetop,Плита
English,Russian,grinned,ухмыльнулся
English,Russian,fluffy,пушистый
English,Russian,reckoned,считается
English,Russian,awesomesauce,потрясающий соус
English,Russian,incredible,невероятный
English,Russian,disguise,маскировка
English,Russian,trill,трель
English,Russian,witty,остроумный
English,Russian,steal,воровать
English,Russian,inhibitory,тормозящий
English,Russian,dampens,успокаивает
English,Russian,inevitable,неизбежный
English,Russian,seize,захватывать
English,Russian,tapered,конический
English,Russian,perused,прочитал
English,Russian,demand,требовать
English,Russian,reportedly,по сообщениям
English,Russian,concluding,заключение
English,Russian,reconcile,примириться
English,Russian,reconciliation,примирение
English,Russian,extraneous,посторонний
English,Russian,payload,полезная нагрузка
English,Russian,tough cookie,крепкий орешек
English,Russian,cruelly,жестоко
English,Russian,mistreat,плохо обращаться
English,Russian,prosperity,процветание
English,Russian,doughnuts,пончики
English,Russian,aspire,стремиться
English,Russian,senseless,бессмысленный
English,Russian,brainstem,мозговой ствол
English,Russian,spinach,шпинат
English,Russian,competitors’,конкурентов
English,Russian,imprinted,отпечатанный
English,Russian,unfazed,невозмутимый
English,Russian,squishy,мягкий
English,Russian,engage,привлекать
English,Russian,waiver,отказ
English,Russian,meltdowns,срывы
English,Russian,endeavour,стараться
English,Russian,stewardship,управление
English,Russian,sustainable,стабильный
English,Russian,clout,влияние
English,Russian,gobbledygook,тупица
English,Russian,incomprehensible,непонятный
English,Russian,meanwhile,тем временем
English,Russian,announcements,объявления
English,Russian,regretted,пожалел
English,Russian,irrevocable,безвозвратный
English,Russian,disgust,отвращение
English,Russian,handed,вручил
English,Russian,wipe,вытирать
English,Russian,suppose,предполагать
English,Russian,infringement,нарушение
English,Russian,loose,свободный
English,Russian,enhances,усиливает
English,Russian,assemble,собрать
English,Russian,instantly,немедленно
English,Russian,regard,внимание
English,Russian,considerable,значительный
English,Russian,cohesiveness,сплоченность
English,Russian,infrared,инфракрасный
English,Russian,gawk,таращиться
